nameOrganizationFrom,Team,ID
Arizona,Arizona,51098
Arkansas,Arkansas,51100
Baylor,Baylor,51106
Boston College,Boston College,51110
Bowling Green,Bowling Green,51112
Brigham Young,BYU,51114
Bucknell,Bucknell,51117
Butler,Butler,51119
California,California,51128
California-Los Angeles,UCLA,51131
California-Santa Barbara,UC Santa Barbara,51127
Cincinnati,Cincinnati,51140
Clemson,Clemson,51142
Cleveland State,Cleveland St.,51143
College of Charleston,Col. of Charleston,51417
Colorado,Colorado,51147
Connecticut,Uconn,51149
Creighton,Creighton,51152
Detroit Mercy,Detroit Mercy,51160
Duke,Duke,51163
Florida,Florida,51178
Florida State,Florida St.,51177
Fresno State,Fresno St.,51122
Georgetown,Georgetown,51183
Georgia,Georgia,51187
Georgia State,Georgia St.,51185
Georgia Tech,Georgia Tech,51186
Gonzaga,Gonzaga,51188
Houston,Houston,51197
Illinois,Illinois,51202
Indiana,Indiana,51205
Iowa State,Iowa St.,51208
Kansas,Kansas,51215
Kansas State,Kansas St.,51214
Kentucky,Kentucky,51217
Lehigh,Lehigh,51221
Long Beach State,Long Beach St.,51124
Louisiana State,LSU,51225
Louisiana-Lafayette,Lafayette,51219
Louisville,Louisville,51227
Marquette,Marquette,51234
Marshall,Marshall,51235
Maryland,Maryland,51237
Memphis,Memphis,51241
Miami (FL),Miami (FL),51244
Michigan,Michigan,51246
Michigan State,Michigan St.,51245
Mississippi State,Mississippi St.,51249
Missouri,Missouri,51252
Morehead State,Morehead St.,51256
Murray State,Murray St.,51259
Nevada-Las Vegas,UNLV,51266
Nevada-Reno,Nevada,51267
New Mexico,New Mexico,51271
New Mexico State,New Mexico St.,51270
Norfolk State,Norfolk St.,51275
North Carolina,North Carolina,51261
North Carolina State,NC State,51278
Notre Dame,Notre Dame,51290
Ohio State,Ohio St.,51292
Oklahoma,Oklahoma,51295
Oklahoma State,Oklahoma St.,51294
Oregon,Oregon,51299
Oregon State,Oregon St.,51298
Pittsburgh,Pittsburgh,51305
Providence,Providence,51310
Purdue,Purdue,51311
Richmond,Richmond,51316
Rutgers,Rutgers,51319
Saint Joseph's,Saint Joseph's,51325
San Diego State,San Diego St.,51331
South Carolina,South Carolina,51341
South Dakota State,South Dakota St.,51342
South Florida,South Fla.,51344
Southern California,Southern California,51347
Southern Methodist,SMU,51350
St. Bonaventure,St. Bonaventure,51321
St. John's (NY),St. John's (NY),51324
Stanford,Stanford,51357
Syracuse,Syracuse,51361
Temple,Temple,51362
Tennessee,Tennessee,51366
Texas,Texas,51373
Texas A&M,Texas A&M,51368
Tulsa,Tulsa,51380
Utah,Utah,51385
Vanderbilt,Vanderbilt,51387
Villanova,Villanova,51389
Virginia,Virginia,51393
Virginia Commonwealth,VCU,51390
Virginia Tech,Virginia Tech,51392
Wake Forest,Wake Forest,51395
Washington,Washington,51397
Washington State,Washington St.,51396
Weber State,Weber St.,51398
West Virginia,West Virginia,51399
Western Kentucky,Western Ky.,51402
Wisconsin,Wisconsin,51409
Wyoming,Wyoming,51412
Xavier,Xavier,51413
